r_bend,p99_springback_mm,max_springback_mm,feasible,campaign_runtime_s
6.206030150753769,2.165774599795042,2.207129068981617,False,0.040085948014166206
6.236381909547738,2.1755040425566214,2.2170570312517124,False,0.04021368100075051
6.2667336683417085,2.185233455618779,2.2269849620064175,False,0.04047377099050209
6.297085427135679,2.1949628388486753,2.2369128611046007,False,0.040020012005697936
6.327437185929648,2.2046921921134386,2.246840728405086,False,0.04017960000783205
6.357788944723618,2.214422158900108,2.25676856376672,False,0.03998653299640864
6.388140703517587,2.2241526406142635,2.2666963670483486,False,0.03973750799195841
6.418492462311558,2.2338830919572827,2.276624138108807,False,0.04037240403704345
6.448844221105528,2.243613512796283,2.2865518768069415,False,0.03973848500754684
6.479195979899497,2.2533439029983366,2.296479583001587,False,0.04067076597129926
6.509547738693467,2.2630742624305604,2.3064072565515903,False,0.040770121035166085
6.539899497487437,2.2728045909600274,2.316334897315797,False,0.04057485901284963
6.5702512562814075,2.2825348884538657,2.326262505153043,False,0.041508238995447755
6.600603015075377,2.2922651547791473,2.3361900799221624,False,0.04037011100444943
6.630954773869346,2.3019953898029897,2.3461176214820134,False,0.04075906501384452
6.661306532663316,2.3117255933924765,2.3560451296914198,False,0.04056125902570784
6.691658291457286,2.3214557654147137,2.3659726044092277,False,0.041264646977651864
6.7220100502512565,2.331185905736796,2.3759000454942947,False,0.040493445994798094
6.752361809045226,2.340916014225818,2.3858274528054446,False,0.04062074900139123
6.782713567839195,2.3506460907488744,2.3957548262015127,False,0.04030026198597625
6.813065326633166,2.360376135173072,2.4056821655413563,False,0.039979853958357126
6.843417085427136,2.3701061473655045,2.4156094706838105,False,0.04008030804106966
6.873768844221106,2.379836127193256,2.4255367414877216,False,0.040700855024624616
6.904120603015075,2.3895674151036337,2.4354639778119247,False,0.04005466401576996
6.9344723618090445,2.3993069939703724,2.445391179515255,False,0.04027032002341002
6.964824120603015,2.4090465400084713,2.4553183464565698,False,0.040157306008040905
6.995175879396985,2.4187860530846295,2.465245478494704,False,0.04143529001157731
7.025527638190955,2.428525533065534,2.4751725754884824,False,0.04094354301923886
7.055879396984924,2.438264979817918,2.4850996372967726,False,0.04059842799324542
7.086231155778894,2.4480043932084476,2.49502666377841,False,0.04053253901656717
7.116582914572865,2.4577437731038434,2.504953654792219,False,0.040087107045110315
7.146934673366834,2.467483119370805,2.5148806101970567,False,0.04015706398058683
7.177286432160804,2.47722243187602,2.524807529851758,False,0.040544426010455936
7.207638190954773,2.486961710486199,2.5347344136151695,False,0.039900027972180396
7.237989949748743,2.496700955068063,2.544661261346126,False,0.04091874696314335
7.268341708542714,2.506440165488278,2.5545880729034742,False,0.04021911200834438
7.298693467336683,2.516172885280822,2.564514848146049,False,0.040473571978509426
7.329045226130653,2.525903440530846,2.5744415869326964,False,0.040462440985720605
7.359396984924623,2.5356339612804546,2.584368289122263,False,0.04082814999856055
7.389748743718593,2.545364447396706,2.594294954573584,False,0.04066911700647324
